id,password,last_login,is_superuser,username,firstname,lastname,email,is_staff,is_active,date_joined
48,cpvecltt.097,,False,user49,Nguyen,Ngan,user49@gmail.com,False,True,
49,cpvecltt.097,,False,user50,Tran,My,user50@gmail.com,False,True,
50,cpvecltt.097,,False,user51,Tu,Hung,user51@gmail.com,False,True,
51,cpvecltt.097,,False,user52,Dang,Anh,user52@gmail.com,False,True,
52,cpvecltt.097,,False,user53,Tran,Diem,user53@gmail.com,False,True,
53,cpvecltt.097,,False,user54,Nguyen,Trinh,user54@gmail.com,False,True,
54,cpvecltt.097,,False,user55,Tran,Son,user55@gmail.com,False,True,
55,cpvecltt.097,,False,user56,Tu,Hien,user56@gmail.com,False,True,
56,cpvecltt.097,,False,user57,Dang,Luong,user57@gmail.com,False,True,
57,cpvecltt.097,,False,user58,Tran,Nam,user58@gmail.com,False,True,
58,cpvecltt.097,,False,user59,Nguyen,Lam,user59@gmail.com,False,True,
59,cpvecltt.097,,False,user60,Tran,Trung,user60@gmail.com,False,True,
60,cpvecltt.097,,False,user61,Tu,Han,user61@gmail.com,False,True,
61,cpvecltt.097,,False,user62,Dang,Nguyen,user62@gmail.com,False,True,
62,cpvecltt.097,,False,user63,Tran,Duc,user63@gmail.com,False,True,
63,cpvecltt.097,,False,user64,Nguyen,Huong,user64@gmail.com,False,True,
64,cpvecltt.097,,False,user65,Tran,Phi,user65@gmail.com,False,True,
65,cpvecltt.097,,False,user66,Tu,Nhat,user66@gmail.com,False,True,
66,cpvecltt.097,,False,user67,Dang,Hoang,user67@gmail.com,False,True,
67,cpvecltt.097,,False,user68,Tran,Kien,user68@gmail.com,False,True,
68,cpvecltt.097,,False,user69,Nguyen,Trang,user69@gmail.com,False,True,
69,cpvecltt.097,,False,user70,Tran,Ngan,user70@gmail.com,False,True,
70,cpvecltt.097,,False,user71,Tu,My,user71@gmail.com,False,True,
71,cpvecltt.097,,False,user72,Dang,Hung,user72@gmail.com,False,True,
72,cpvecltt.097,,False,user73,Tran,Anh,user73@gmail.com,False,True,
73,cpvecltt.097,,False,user74,Nguyen,Diem,user74@gmail.com,False,True,
74,cpvecltt.097,,False,user75,Tran,Trinh,user75@gmail.com,False,True,
75,cpvecltt.097,,False,user76,Tu,Son,user76@gmail.com,False,True,
76,cpvecltt.097,,False,user77,Dang,Hien,user77@gmail.com,False,True,
77,cpvecltt.097,,False,user78,Tran,Luong,user78@gmail.com,False,True,
78,cpvecltt.097,,False,user79,Nguyen,Nam,user79@gmail.com,False,True,
79,cpvecltt.097,,False,user80,Tran,Lam,user80@gmail.com,False,True,
80,cpvecltt.097,,False,user81,Tu,Trung,user81@gmail.com,False,True,
81,cpvecltt.097,,False,user82,Dang,Han,user82@gmail.com,False,True,
82,cpvecltt.097,,False,user83,Tran,Nguyen,user83@gmail.com,False,True,
83,cpvecltt.097,,False,user84,Nguyen,Duc,user84@gmail.com,False,True,
84,cpvecltt.097,,False,user85,Tran,Huong,user85@gmail.com,False,True,
85,cpvecltt.097,,False,user86,Tu,Phi,user86@gmail.com,False,True,
86,cpvecltt.097,,False,user87,Dang,Nhat,user87@gmail.com,False,True,
87,cpvecltt.097,,False,user88,Tran,Hoang,user88@gmail.com,False,True,
88,cpvecltt.097,,False,user89,Nguyen,Kien,user89@gmail.com,False,True,
89,cpvecltt.097,,False,user90,Tran,Trang,user90@gmail.com,False,True,
90,cpvecltt.097,,False,user91,Tu,Ngan,user91@gmail.com,False,True,
91,cpvecltt.097,,False,user92,Dang,My,user92@gmail.com,False,True,
92,cpvecltt.097,,False,user93,Tran,Hung,user93@gmail.com,False,True,
93,cpvecltt.097,,False,user94,Nguyen,Anh,user94@gmail.com,False,True,
94,cpvecltt.097,,False,user95,Tran,Diem,user95@gmail.com,False,True,
95,cpvecltt.097,,False,user96,Tu,Trinh,user96@gmail.com,False,True,
96,cpvecltt.097,,False,user97,Dang,Son,user97@gmail.com,False,True,
97,cpvecltt.097,,False,user98,Tran,Hien,user98@gmail.com,False,True,
98,cpvecltt.097,,False,user99,Nguyen,Luong,user99@gmail.com,False,True,
99,cpvecltt.097,,False,user100,Tran,Nam,user100@gmail.com,False,True,
100,cpvecltt.097,,False,user101,Tu,Lam,user101@gmail.com,False,True,
101,cpvecltt.097,,False,user102,Dang,Trung,user102@gmail.com,False,True,
102,cpvecltt.097,,False,user103,Tran,Han,user103@gmail.com,False,True,
103,cpvecltt.097,,False,user104,Nguyen,Nguyen,user104@gmail.com,False,True,
104,cpvecltt.097,,False,user105,Tran,Duc,user105@gmail.com,False,True,
105,cpvecltt.097,,False,user106,Tu,Huong,user106@gmail.com,False,True,
106,cpvecltt.097,,False,user107,Dang,Phi,user107@gmail.com,False,True,
107,cpvecltt.097,,False,user108,Tran,Nhat,user108@gmail.com,False,True,
108,cpvecltt.097,,False,user109,Nguyen,Hoang,user109@gmail.com,False,True,
109,cpvecltt.097,,False,user110,Tran,Kien,user110@gmail.com,False,True,
110,cpvecltt.097,,False,user111,Tu,Trang,user111@gmail.com,False,True,
111,cpvecltt.097,,False,user112,Dang,Ngan,user112@gmail.com,False,True,
112,cpvecltt.097,,False,user113,Tran,My,user113@gmail.com,False,True,
113,cpvecltt.097,,False,user114,Nguyen,Hung,user114@gmail.com,False,True,
114,cpvecltt.097,,False,user115,Tran,Anh,user115@gmail.com,False,True,
115,cpvecltt.097,,False,user116,Tu,Diem,user116@gmail.com,False,True,
116,cpvecltt.097,,False,user117,Dang,Trinh,user117@gmail.com,False,True,
117,cpvecltt.097,,False,user118,Tran,Son,user118@gmail.com,False,True,
118,cpvecltt.097,,False,user119,Nguyen,Hien,user119@gmail.com,False,True,
119,cpvecltt.097,,False,user120,Tran,Luong,user120@gmail.com,False,True,
120,cpvecltt.097,,False,user121,Tu,Nam,user121@gmail.com,False,True,
121,cpvecltt.097,,False,user122,Dang,Lam,user122@gmail.com,False,True,
122,cpvecltt.097,,False,user123,Tran,Trung,user123@gmail.com,False,True,
123,cpvecltt.097,,False,user124,Nguyen,Han,user124@gmail.com,False,True,
124,cpvecltt.097,,False,user125,Tran,Nguyen,user125@gmail.com,False,True,
125,cpvecltt.097,,False,user126,Tu,Duc,user126@gmail.com,False,True,
126,cpvecltt.097,,False,user127,Dang,Huong,user127@gmail.com,False,True,
127,cpvecltt.097,,False,user128,Tran,Phi,user128@gmail.com,False,True,
128,cpvecltt.097,,False,user129,Nguyen,Nhat,user129@gmail.com,False,True,
129,cpvecltt.097,,False,user130,Tran,Hoang,user130@gmail.com,False,True,
130,cpvecltt.097,,False,user131,Tu,Kien,user131@gmail.com,False,True,
131,cpvecltt.097,,False,user132,Dang,Trang,user132@gmail.com,False,True,
132,cpvecltt.097,,False,user133,Tran,Ngan,user133@gmail.com,False,True,
133,cpvecltt.097,,False,user134,Nguyen,My,user134@gmail.com,False,True,
134,cpvecltt.097,,False,user135,Tran,Hung,user135@gmail.com,False,True,
135,cpvecltt.097,,False,user136,Tu,Anh,user136@gmail.com,False,True,
136,cpvecltt.097,,False,user137,Dang,Diem,user137@gmail.com,False,True,
137,cpvecltt.097,,False,user138,Tran,Trinh,user138@gmail.com,False,True,
138,cpvecltt.097,,False,user139,Nguyen,Son,user139@gmail.com,False,True,
139,cpvecltt.097,,False,user140,Tran,Hien,user140@gmail.com,False,True,
140,cpvecltt.097,,False,user141,Tu,Luong,user141@gmail.com,False,True,
141,cpvecltt.097,,False,user142,Dang,Nam,user142@gmail.com,False,True,
142,cpvecltt.097,,False,user143,Tran,Lam,user143@gmail.com,False,True,
143,cpvecltt.097,,False,user144,Nguyen,Trung,user144@gmail.com,False,True,
144,cpvecltt.097,,False,user145,Tran,Han,user145@gmail.com,False,True,
145,cpvecltt.097,,False,user146,Tu,Nguyen,user146@gmail.com,False,True,
146,cpvecltt.097,,False,user147,Dang,Duc,user147@gmail.com,False,True,
147,cpvecltt.097,,False,user148,Tran,Huong,user148@gmail.com,False,True,
148,cpvecltt.097,,False,user149,Nguyen,Phi,user149@gmail.com,False,True,
149,cpvecltt.097,,False,user150,Tran,Nhat,user150@gmail.com,False,True,
150,cpvecltt.097,,False,user151,Tu,Hoang,user151@gmail.com,False,True,
151,cpvecltt.097,,False,user152,Dang,Kien,user152@gmail.com,False,True,
152,cpvecltt.097,,False,user153,Tran,Trang,user153@gmail.com,False,True,
153,cpvecltt.097,,False,user154,Nguyen,Ngan,user154@gmail.com,False,True,
154,cpvecltt.097,,False,user155,Tran,My,user155@gmail.com,False,True,
155,cpvecltt.097,,False,user156,Tu,Hung,user156@gmail.com,False,True,
156,cpvecltt.097,,False,user157,Dang,Anh,user157@gmail.com,False,True,
157,cpvecltt.097,,False,user158,Tran,Diem,user158@gmail.com,False,True,
158,cpvecltt.097,,False,user159,Nguyen,Trinh,user159@gmail.com,False,True,
159,cpvecltt.097,,False,user160,Tran,Son,user160@gmail.com,False,True,
160,cpvecltt.097,,False,user161,Tu,Hien,user161@gmail.com,False,True,
161,cpvecltt.097,,False,user162,Dang,Luong,user162@gmail.com,False,True,
162,cpvecltt.097,,False,user163,Tran,Nam,user163@gmail.com,False,True,
163,cpvecltt.097,,False,user164,Nguyen,Lam,user164@gmail.com,False,True,
164,cpvecltt.097,,False,user165,Tran,Trung,user165@gmail.com,False,True,
165,cpvecltt.097,,False,user166,Tu,Han,user166@gmail.com,False,True,
166,cpvecltt.097,,False,user167,Dang,Nguyen,user167@gmail.com,False,True,
167,cpvecltt.097,,False,user168,Tran,Duc,user168@gmail.com,False,True,
168,cpvecltt.097,,False,user169,Nguyen,Huong,user169@gmail.com,False,True,
169,cpvecltt.097,,False,user170,Tran,Phi,user170@gmail.com,False,True,
170,cpvecltt.097,,False,user171,Tu,Nhat,user171@gmail.com,False,True,
171,cpvecltt.097,,False,user172,Dang,Hoang,user172@gmail.com,False,True,
172,cpvecltt.097,,False,user173,Tran,Kien,user173@gmail.com,False,True,
173,cpvecltt.097,,False,user174,Nguyen,Trang,user174@gmail.com,False,True,
174,cpvecltt.097,,False,user175,Tran,Ngan,user175@gmail.com,False,True,
175,cpvecltt.097,,False,user176,Tu,My,user176@gmail.com,False,True,
176,cpvecltt.097,,False,user177,Dang,Hung,user177@gmail.com,False,True,
177,cpvecltt.097,,False,user178,Tran,Anh,user178@gmail.com,False,True,
178,cpvecltt.097,,False,user179,Nguyen,Diem,user179@gmail.com,False,True,
179,cpvecltt.097,,False,user180,Tran,Trinh,user180@gmail.com,False,True,
180,cpvecltt.097,,False,user181,Tu,Son,user181@gmail.com,False,True,
181,cpvecltt.097,,False,user182,Dang,Hien,user182@gmail.com,False,True,
182,cpvecltt.097,,False,user183,Tran,Luong,user183@gmail.com,False,True,
183,cpvecltt.097,,False,user184,Nguyen,Nam,user184@gmail.com,False,True,
184,cpvecltt.097,,False,user185,Tran,Lam,user185@gmail.com,False,True,
185,cpvecltt.097,,False,user186,Tu,Trung,user186@gmail.com,False,True,
186,cpvecltt.097,,False,user187,Dang,Han,user187@gmail.com,False,True,
187,cpvecltt.097,,False,user188,Tran,Nguyen,user188@gmail.com,False,True,
188,cpvecltt.097,,False,user189,Nguyen,Duc,user189@gmail.com,False,True,
189,cpvecltt.097,,False,user190,Tran,Huong,user190@gmail.com,False,True,
190,cpvecltt.097,,False,user191,Tu,Phi,user191@gmail.com,False,True,
191,cpvecltt.097,,False,user192,Dang,Nhat,user192@gmail.com,False,True,
192,cpvecltt.097,,False,user193,Tran,Hoang,user193@gmail.com,False,True,
193,cpvecltt.097,,False,user194,Nguyen,Kien,user194@gmail.com,False,True,
194,cpvecltt.097,,False,user195,Tran,Trang,user195@gmail.com,False,True,
195,cpvecltt.097,,False,user196,Tu,Ngan,user196@gmail.com,False,True,
196,cpvecltt.097,,False,user197,Dang,My,user197@gmail.com,False,True,
197,cpvecltt.097,,False,user198,Tran,Hung,user198@gmail.com,False,True,
198,cpvecltt.097,,False,user199,Nguyen,Anh,user199@gmail.com,False,True,
199,cpvecltt.097,,False,user200,Tran,Diem,user200@gmail.com,False,True,
200,cpvecltt.097,,False,user201,Tu,Trinh,user201@gmail.com,False,True,
201,cpvecltt.097,,False,user202,Dang,Son,user202@gmail.com,False,True,
202,cpvecltt.097,,False,user203,Tran,Hien,user203@gmail.com,False,True,
203,cpvecltt.097,,False,user204,Nguyen,Luong,user204@gmail.com,False,True,
204,cpvecltt.097,,False,user205,Tran,Nam,user205@gmail.com,False,True,
205,cpvecltt.097,,False,user206,Tu,Lam,user206@gmail.com,False,True,
206,cpvecltt.097,,False,user207,Dang,Trung,user207@gmail.com,False,True,
207,cpvecltt.097,,False,user208,Tran,Han,user208@gmail.com,False,True,
208,cpvecltt.097,,False,user209,Nguyen,Nguyen,user209@gmail.com,False,True,
209,cpvecltt.097,,False,user210,Tran,Duc,user210@gmail.com,False,True,
210,cpvecltt.097,,False,user211,Tu,Huong,user211@gmail.com,False,True,
211,cpvecltt.097,,False,user212,Dang,Phi,user212@gmail.com,False,True,
212,cpvecltt.097,,False,user213,Tran,Nhat,user213@gmail.com,False,True,
213,cpvecltt.097,,False,user214,Nguyen,Hoang,user214@gmail.com,False,True,
214,cpvecltt.097,,False,user215,Tran,Kien,user215@gmail.com,False,True,
215,cpvecltt.097,,False,user216,Tu,Trang,user216@gmail.com,False,True,
216,cpvecltt.097,,False,user217,Dang,Ngan,user217@gmail.com,False,True,
217,cpvecltt.097,,False,user218,Tran,My,user218@gmail.com,False,True,
218,cpvecltt.097,,False,user219,Nguyen,Hung,user219@gmail.com,False,True,
219,cpvecltt.097,,False,user220,Tran,Anh,user220@gmail.com,False,True,
220,cpvecltt.097,,False,user221,Tu,Diem,user221@gmail.com,False,True,
221,cpvecltt.097,,False,user222,Dang,Trinh,user222@gmail.com,False,True,
222,cpvecltt.097,,False,user223,Tran,Son,user223@gmail.com,False,True,
223,cpvecltt.097,,False,user224,Nguyen,Hien,user224@gmail.com,False,True,
224,cpvecltt.097,,False,user225,Tran,Luong,user225@gmail.com,False,True,
225,cpvecltt.097,,False,user226,Tu,Nam,user226@gmail.com,False,True,
226,cpvecltt.097,,False,user227,Dang,Lam,user227@gmail.com,False,True,
227,cpvecltt.097,,False,user228,Tran,Trung,user228@gmail.com,False,True,
228,cpvecltt.097,,False,user229,Nguyen,Han,user229@gmail.com,False,True,
229,cpvecltt.097,,False,user230,Tran,Nguyen,user230@gmail.com,False,True,
230,cpvecltt.097,,False,user231,Tu,Duc,user231@gmail.com,False,True,
231,cpvecltt.097,,False,user232,Dang,Huong,user232@gmail.com,False,True,
232,cpvecltt.097,,False,user233,Tran,Phi,user233@gmail.com,False,True,
233,cpvecltt.097,,False,user234,Nguyen,Nhat,user234@gmail.com,False,True,
234,cpvecltt.097,,False,user235,Tran,Hoang,user235@gmail.com,False,True,
235,cpvecltt.097,,False,user236,Tu,Kien,user236@gmail.com,False,True,
236,cpvecltt.097,,False,user237,Dang,Trang,user237@gmail.com,False,True,
237,cpvecltt.097,,False,user238,Tran,Ngan,user238@gmail.com,False,True,
238,cpvecltt.097,,False,user239,Nguyen,My,user239@gmail.com,False,True,
239,cpvecltt.097,,False,user240,Tran,Hung,user240@gmail.com,False,True,
240,cpvecltt.097,,False,user241,Tu,Anh,user241@gmail.com,False,True,
241,cpvecltt.097,,False,user242,Dang,Diem,user242@gmail.com,False,True,
242,cpvecltt.097,,False,user243,Tran,Trinh,user243@gmail.com,False,True,
243,cpvecltt.097,,False,user244,Nguyen,Son,user244@gmail.com,False,True,
244,cpvecltt.097,,False,user245,Tran,Hien,user245@gmail.com,False,True,
245,cpvecltt.097,,False,user246,Tu,Luong,user246@gmail.com,False,True,
246,cpvecltt.097,,False,user247,Dang,Nam,user247@gmail.com,False,True,
247,cpvecltt.097,,False,user248,Tran,Lam,user248@gmail.com,False,True,
248,cpvecltt.097,,False,user249,Nguyen,Trung,user249@gmail.com,False,True,
249,cpvecltt.097,,False,user250,Tran,Han,user250@gmail.com,False,True,
250,cpvecltt.097,,False,user251,Tu,Nguyen,user251@gmail.com,False,True,
251,cpvecltt.097,,False,user252,Dang,Duc,user252@gmail.com,False,True,
252,cpvecltt.097,,False,user253,Tran,Huong,user253@gmail.com,False,True,
253,cpvecltt.097,,False,user254,Nguyen,Phi,user254@gmail.com,False,True,
254,cpvecltt.097,,False,user255,Tran,Nhat,user255@gmail.com,False,True,
255,cpvecltt.097,,False,user256,Tu,Hoang,user256@gmail.com,False,True,
256,cpvecltt.097,,False,user257,Dang,Kien,user257@gmail.com,False,True,
257,cpvecltt.097,,False,user258,Tran,Trang,user258@gmail.com,False,True,
258,cpvecltt.097,,False,user259,Nguyen,Ngan,user259@gmail.com,False,True,
259,cpvecltt.097,,False,user260,Tran,My,user260@gmail.com,False,True,
260,cpvecltt.097,,False,user261,Tu,Hung,user261@gmail.com,False,True,
261,cpvecltt.097,,False,user262,Dang,Anh,user262@gmail.com,False,True,
262,cpvecltt.097,,False,user263,Tran,Diem,user263@gmail.com,False,True,
263,cpvecltt.097,,False,user264,Nguyen,Trinh,user264@gmail.com,False,True,
264,cpvecltt.097,,False,user265,Tran,Son,user265@gmail.com,False,True,
265,cpvecltt.097,,False,user266,Tu,Hien,user266@gmail.com,False,True,
266,cpvecltt.097,,False,user267,Dang,Luong,user267@gmail.com,False,True,
267,cpvecltt.097,,False,user268,Tran,Nam,user268@gmail.com,False,True,
268,cpvecltt.097,,False,user269,Nguyen,Lam,user269@gmail.com,False,True,
269,cpvecltt.097,,False,user270,Tran,Trung,user270@gmail.com,False,True,
270,cpvecltt.097,,False,user271,Tu,Han,user271@gmail.com,False,True,
271,cpvecltt.097,,False,user272,Dang,Nguyen,user272@gmail.com,False,True,
272,cpvecltt.097,,False,user273,Tran,Duc,user273@gmail.com,False,True,
273,cpvecltt.097,,False,user274,Nguyen,Huong,user274@gmail.com,False,True,
274,cpvecltt.097,,False,user275,Tran,Phi,user275@gmail.com,False,True,
275,cpvecltt.097,,False,user276,Tu,Nhat,user276@gmail.com,False,True,
276,cpvecltt.097,,False,user277,Dang,Hoang,user277@gmail.com,False,True,
277,cpvecltt.097,,False,user278,Tran,Kien,user278@gmail.com,False,True,
278,cpvecltt.097,,False,user279,Nguyen,Trang,user279@gmail.com,False,True,
279,cpvecltt.097,,False,user280,Tran,Ngan,user280@gmail.com,False,True,
280,cpvecltt.097,,False,user281,Tu,My,user281@gmail.com,False,True,
281,cpvecltt.097,,False,user282,Dang,Hung,user282@gmail.com,False,True,
282,cpvecltt.097,,False,user283,Tran,Anh,user283@gmail.com,False,True,
283,cpvecltt.097,,False,user284,Nguyen,Diem,user284@gmail.com,False,True,
284,cpvecltt.097,,False,user285,Tran,Trinh,user285@gmail.com,False,True,
285,cpvecltt.097,,False,user286,Tu,Son,user286@gmail.com,False,True,
286,cpvecltt.097,,False,user287,Dang,Hien,user287@gmail.com,False,True,
287,cpvecltt.097,,False,user288,Tran,Luong,user288@gmail.com,False,True,
288,cpvecltt.097,,False,user289,Nguyen,Nam,user289@gmail.com,False,True,
289,cpvecltt.097,,False,user290,Tran,Lam,user290@gmail.com,False,True,
290,cpvecltt.097,,False,user291,Tu,Trung,user291@gmail.com,False,True,
291,cpvecltt.097,,False,user292,Dang,Han,user292@gmail.com,False,True,
292,cpvecltt.097,,False,user293,Tran,Nguyen,user293@gmail.com,False,True,
293,cpvecltt.097,,False,user294,Nguyen,Duc,user294@gmail.com,False,True,
294,cpvecltt.097,,False,user295,Tran,Huong,user295@gmail.com,False,True,
295,cpvecltt.097,,False,user296,Tu,Phi,user296@gmail.com,False,True,
296,cpvecltt.097,,False,user297,Dang,Nhat,user297@gmail.com,False,True,
297,cpvecltt.097,,False,user298,Tran,Hoang,user298@gmail.com,False,True,
298,cpvecltt.097,,False,user299,Nguyen,Kien,user299@gmail.com,False,True,
299,cpvecltt.097,,False,user300,Tran,Trang,user300@gmail.com,False,True,
300,cpvecltt.097,,False,user301,Tu,Ngan,user301@gmail.com,False,True,
301,cpvecltt.097,,False,user302,Dang,My,user302@gmail.com,False,True,
302,cpvecltt.097,,False,user303,Tran,Hung,user303@gmail.com,False,True,
303,cpvecltt.097,,False,user304,Nguyen,Anh,user304@gmail.com,False,True,
304,cpvecltt.097,,False,user305,Tran,Diem,user305@gmail.com,False,True,
305,cpvecltt.097,,False,user306,Tu,Trinh,user306@gmail.com,False,True,
306,cpvecltt.097,,False,user307,Dang,Son,user307@gmail.com,False,True,
307,cpvecltt.097,,False,user308,Tran,Hien,user308@gmail.com,False,True,
308,cpvecltt.097,,False,user309,Nguyen,Luong,user309@gmail.com,False,True,
309,cpvecltt.097,,False,user310,Tran,Nam,user310@gmail.com,False,True,
310,cpvecltt.097,,False,user311,Tu,Lam,user311@gmail.com,False,True,
311,cpvecltt.097,,False,user312,Dang,Trung,user312@gmail.com,False,True,
312,cpvecltt.097,,False,user313,Tran,Han,user313@gmail.com,False,True,
313,cpvecltt.097,,False,user314,Nguyen,Nguyen,user314@gmail.com,False,True,
314,cpvecltt.097,,False,user315,Tran,Duc,user315@gmail.com,False,True,
315,cpvecltt.097,,False,user316,Tu,Huong,user316@gmail.com,False,True,
316,cpvecltt.097,,False,user317,Dang,Phi,user317@gmail.com,False,True,
317,cpvecltt.097,,False,user318,Tran,Nhat,user318@gmail.com,False,True,
318,cpvecltt.097,,False,user319,Nguyen,Hoang,user319@gmail.com,False,True,
319,cpvecltt.097,,False,user320,Tran,Kien,user320@gmail.com,False,True,
320,cpvecltt.097,,False,user321,Tu,Trang,user321@gmail.com,False,True,
321,cpvecltt.097,,False,user322,Dang,Ngan,user322@gmail.com,False,True,
322,cpvecltt.097,,False,user323,Tran,My,user323@gmail.com,False,True,
323,cpvecltt.097,,False,user324,Nguyen,Hung,user324@gmail.com,False,True,
324,cpvecltt.097,,False,user325,Tran,Anh,user325@gmail.com,False,True,
325,cpvecltt.097,,False,user326,Tu,Diem,user326@gmail.com,False,True,
326,cpvecltt.097,,False,user327,Dang,Trinh,user327@gmail.com,False,True,
327,cpvecltt.097,,False,user328,Tran,Son,user328@gmail.com,False,True,
328,cpvecltt.097,,False,user329,Nguyen,Hien,user329@gmail.com,False,True,
329,cpvecltt.097,,False,user330,Tran,Luong,user330@gmail.com,False,True,
330,cpvecltt.097,,False,user331,Tu,Nam,user331@gmail.com,False,True,
331,cpvecltt.097,,False,user332,Dang,Lam,user332@gmail.com,False,True,
332,cpvecltt.097,,False,user333,Tran,Trung,user333@gmail.com,False,True,
333,cpvecltt.097,,False,user334,Nguyen,Han,user334@gmail.com,False,True,
334,cpvecltt.097,,False,user335,Tran,Nguyen,user335@gmail.com,False,True,
335,cpvecltt.097,,False,user336,Tu,Duc,user336@gmail.com,False,True,
336,cpvecltt.097,,False,user337,Dang,Huong,user337@gmail.com,False,True,
337,cpvecltt.097,,False,user338,Tran,Phi,user338@gmail.com,False,True,
338,cpvecltt.097,,False,user339,Nguyen,Nhat,user339@gmail.com,False,True,
339,cpvecltt.097,,False,user340,Tran,Hoang,user340@gmail.com,False,True,
340,cpvecltt.097,,False,user341,Tu,Kien,user341@gmail.com,False,True,
341,cpvecltt.097,,False,user342,Dang,Trang,user342@gmail.com,False,True,
342,cpvecltt.097,,False,user343,Tran,Ngan,user343@gmail.com,False,True,
343,cpvecltt.097,,False,user344,Nguyen,My,user344@gmail.com,False,True,
344,cpvecltt.097,,False,user345,Tran,Hung,user345@gmail.com,False,True,
345,cpvecltt.097,,False,user346,Tu,Anh,user346@gmail.com,False,True,
346,cpvecltt.097,,False,user347,Dang,Diem,user347@gmail.com,False,True,
347,cpvecltt.097,,False,user348,Tran,Trinh,user348@gmail.com,False,True,
348,cpvecltt.097,,False,user349,Nguyen,Son,user349@gmail.com,False,True,
349,cpvecltt.097,,False,user350,Tran,Hien,user350@gmail.com,False,True,
350,cpvecltt.097,,False,user351,Tu,Luong,user351@gmail.com,False,True,
351,cpvecltt.097,,False,user352,Dang,Nam,user352@gmail.com,False,True,
